,street,number,postal_code,neighbourhood,region,latitude,longitude,name
2043,,,0,Skillebekk,Oslo,59.912647,10.711385,Skillebekkparken
2044,Langbølgen,9,1150,Lambertseter,Oslo,59.87297,10.811539,Langbølgen 9
2045,Rådhusgata,32,151,St. Hanshaugen,Oslo,59.910205,10.738916,Rådhusgata 32
2046,Pilestredet Park,24,176,hammer,Oslo,59.918934,10.737309,Pilestredet Park 24
2047,,,0,Høybråten,Oslo,59.961651,10.928757,Karl Fossums vei 30
2048,Nedre Slottsgate,8,157,St. Hanshaugen,Oslo,59.91216,10.742763,Nedre Slottsgate 8
2049,Hausmanns Gate,28,182,hammer,Oslo,59.9189,10.752393,Hausmanns Gate 28
2050,Lakkegata,71B,562,Enerhaugen,Oslo,59.918719,10.765336,Lakkegata 71B
2051,Trondheimsveien,8,560,Enerhaugen,Oslo,59.919274,10.763718,Trondheimsveien 8
2052,Bryggegangen,6,252,Aker Brygge,Oslo,59.908671,10.721941,Bryggegangen 6
2053,Vogts gate,68,477,Torshov,Oslo,59.9369,10.766484,Vogts gate 68
2054,Bryggegangen,8,252,Aker Brygge,Oslo,59.908554,10.721662,Bryggegangen 8
2055,Roald Amundsens Gate,6,161,Vika,Oslo,59.913523,10.735426,Roald Amundsens Gate 6
2056,Tordenskiolds Gate,1,160,Vika,Oslo,59.913277,10.736424,Tordenskiolds Gate 1
2057,Sørligata,40 b,0,Enerhaugen,Oslo,59.914398,10.771559,Sørligata 40 b
2058,Sofies gate,15B,170,Homansbyen,Oslo,59.922793,10.735818,Sofies gate 15B
2059,Kronprinsesse Märthas Plass,1,160,Vika,Oslo,59.912768,10.732944,Kronprinsesse Märthas Plass 1
2060,Niels Juels Gate,70,259,Briskeby,Oslo,59.919251,10.718535,Niels Juels Gate 70
2061,Møllergata,10,179,hammer,Oslo,59.9144,10.747041,Møllergata 10
2062,Storgata,5,155,St. Hanshaugen,Oslo,59.913199,10.748485,Storgata 5
2063,Steinborgveien,49,678,Helsfyr,Oslo,59.902002,10.803283,Steinborgveien 49
2064,Storgata,5,155,St. Hanshaugen,Oslo,59.913199,10.748485,Storgata 5
2065,Hagegata,23,653,Grønland,Oslo,59.914359,10.774646,Hagegata 23
2066,,,0,Ryen,Oslo,59.893547,10.805305,Ryensvingen 3
2067,Hagegata,34A,653,Grønland,Oslo,59.913702,10.776409,Hagegata 34A
2068,Hallings gate,3A,170,Homansbyen,Oslo,59.922516,10.739095,Hallings gate 3A
2069,Disenveien,31,587,Grefsen,Oslo,59.941651,10.795734,Disenveien 31
2070,Akershusstranda,25,150,St. Hanshaugen,Oslo,59.901814,10.741166,Akershusstranda 25
2071,Kongens Gate,23,153,St. Hanshaugen,Oslo,59.911713,10.743125,Kongens Gate 23
2072,Holmens Gate,5,250,Aker Brygge,Oslo,59.910309,10.725597,Holmens Gate 5
2073,Møllergata,23,179,hammer,Oslo,59.915635,10.74856,Møllergata 23
2074,Henrik Ibsens gate,60C,255,Ruselokka,Oslo,59.914992,10.720439,Henrik Ibsens gate 60C
2075,Kirkeveien,51,368,Majorstuen,Oslo,59.927656999999996,10.713796,Kirkeveien 51
2076,Grenseveien,39,575,Tøyen,Oslo,59.924416,10.787753,Grenseveien 39
2077,Dronningens Gate,15,152,St. Hanshaugen,Oslo,59.910386,10.746016000000001,Dronningens Gate 15
2078,Vogts gate,43,474,Torshov,Oslo,59.933476,10.763881,Vogts gate 43
2079,,,0,Vaterland,Oslo,59.911417,10.751685,Vinmonopolet Oslo S
2080,,,0,Tøyen,Oslo,59.92096,10.780678,Tøyen
2081,Turbinveien,26,195,Gamle Oslo,Oslo,59.904116,10.789531,Turbinveien 26
2082,Strandpromenaden,11,252,Aker Brygge,Oslo,59.90793,10.723236,Strandpromenaden 11
2083,Sarpsborggata,12,468,Torshov,Oslo,59.942084,10.760318999999999,Sarpsborggata 12
2084,Bøkkerveien,15,579,Økern,Oslo,59.927632,10.796924,Bøkkerveien 15
2085,Thorvald Meyers gate,49,555,Fredensborg,Oslo,59.92401,10.758884,Thorvald Meyers gate 49
2086,Fridtjof Nansens Plass,7,160,Vika,Oslo,59.912602,10.735311,Fridtjof Nansens Plass 7
2087,Ullevålsveien,82,454,Bislett,Oslo,59.932921,10.734401,Ullevålsveien 82
2088,Lambertseterveien,30,1152,Lambertseter,Oslo,59.871929,10.80593,Lambertseterveien 30
2089,Sørengkaia,101,194,St. Hanshaugen,Oslo,59.902632,10.752881,Sørengkaia 101
2090,Hausmanns Gate,8,182,hammer,Oslo,59.917118,10.755666,Hausmanns Gate 8
2091,Sommerrogata,1,255,Ruselokka,Oslo,59.915245,10.719612,Sommerrogata 1
2092,Neuberggata,9C,367,Briskeby,Oslo,59.92561,10.714762,Neuberggata 9C
2093,Øvre Slottsgate,6,157,Vika,Oslo,59.911639,10.741155,Øvre Slottsgate 6
2094,Kirsten Flagstads plass,1,150,St. Hanshaugen,Oslo,59.907777,10.752058,Kirsten Flagstads plass 1
2095,Operagata,13,194,Vaterland,Oslo,59.907073,10.755980000000001,Operagata 13
2096,Rådhusgata,28,151,St. Hanshaugen,Oslo,59.909831,10.740738,Rådhusgata 28
2097,,,0,Høybråten,Oslo,59.961651,10.928757,Karl Fossums vei 30
2098,Middelthuns gate,25F,368,Majorstuen,Oslo,59.928541,10.710054,Middelthuns gate 25F
2099,Hovinveien,39,661,Tøyen,Oslo,59.920044,10.791074,Hovinveien 39
2100,Thereses gate,30D,168,Bislett,Oslo,59.928218,10.732465,Thereses gate 30D
2101,Niels Juels gate,31,257,Ruselokka,Oslo,59.91678,10.714860999999999,Niels Juels gate 31
2102,Vetlandsveien,111,685,Opsal,Oslo,59.893014,10.841544,Vetlandsveien 111
2103,Parkveien,13,350,Homansbyen,Oslo,59.921776,10.730371,Parkveien 13
2104,Sørengkaia,51,194,St. Hanshaugen,Oslo,59.903392,10.755541000000001,Sørengkaia 51
