,street,number,postal_code,neighbourhood,region,latitude,longitude,name
1823,Tvetenveien,150,671,Bryn,Oslo,59.913836,10.841898,Tvetenveien 150
1824,Holbergs Plass,4,166,hammer,Oslo,59.919159,10.733967,Holbergs Plass 4
1825,Møllergata,10,179,hammer,Oslo,59.9144,10.747041,Møllergata 10
1826,Sørengkaia,69,194,St. Hanshaugen,Oslo,59.9033,10.754335,Sørengkaia 69
1827,Hieronymus Heyerdahls Gate,1,160,Vika,Oslo,59.911776,10.734504,Hieronymus Heyerdahls Gate 1
1828,Plogveien,6,679,Ryen,Oslo,59.897289,10.812857,Plogveien 6
1829,,,0,Vaterland,Oslo,59.913104,10.761445,Kiwi Grønland 18
1830,Lilleakerveien,16,283,Skøyen,Oslo,59.917405,10.636047,Lilleakerveien 16
1831,Dalsbergstien,19,167,Homansbyen,Oslo,59.923081,10.732925,Dalsbergstien 19
1832,Brynsalléen,2,667,Helsfyr,Oslo,59.911068,10.81581,Brynsalléen 2
1833,Eiriks gate,17B,650,Grønland,Oslo,59.912637,10.773472,Eiriks gate 17B
1834,Sørkedalsveien,75,376,Smedstad,Oslo,59.937753,10.68536,Sørkedalsveien 75
1835,Kristian IV''s Gate,4,164,hammer,Oslo,59.914895,10.739744,Kristian IV''s Gate 4
1836,Akershusstranda,15,150,Vika,Oslo,59.906871,10.73492,Akershusstranda 15
1837,Henrik Ibsens Gate,18,255,Ruselokka,Oslo,59.915116,10.727986,Henrik Ibsens Gate 18
1838,Schleppegrells gate,32B,556,Torshov,Oslo,59.92761,10.765343,Schleppegrells gate 32B
1839,Slemdalsveien,70B,370,Ris,Oslo,59.942304,10.703609,Slemdalsveien 70B
1840,Kongsveien,15,193,Gamle Oslo,Oslo,59.899484,10.761656,Kongsveien 15
1841,Stovner Senter,3,985,Høybråten,Oslo,59.961789,10.923727,Stovner Senter 3
1842,Fredensborgveien,9B,177,hammer,Oslo,59.91787,10.747492,Fredensborgveien 9B
1843,Voksenkollveien,60,790,Holmenkollen,Oslo,59.975071,10.655643,Voksenkollveien 60
1844,Operagata,3,194,St. Hanshaugen,Oslo,59.906525,10.755677,Operagata 3
1845,Storgata,21,184,hammer,Oslo,59.914316,10.750491,Storgata 21
1846,Cort Adelers gate,2,254,Ruselokka,Oslo,59.914655,10.720815,Cort Adelers gate 2
1847,Bøgata,21,655,Grønland,Oslo,59.913733,10.781006,Bøgata 21
1848,Nydalen Allé,19,484,Nydalen,Oslo,59.947607,10.767374,Nydalen Allé 19
1849,Søndre Rød,3B,752,Rud,Oslo,59.943047,10.64531,Søndre Rød 3B
1850,Munkedamsveien,62,270,Filipstad,Oslo,59.911394,10.71885,Munkedamsveien 62
1851,Maridalsveien,15,178,Fredensborg,Oslo,59.922647,10.751197,Maridalsveien 15
1852,Grenseveien,32,571,Sindsen,Oslo,59.924925,10.781195,Grenseveien 32
1853,Professor Birkelands Vei,27,1081,Lindeberg,Oslo,59.940839,10.882873,Professor Birkelands Vei 27
1854,Arups gate,13,192,Gamle Oslo,Oslo,59.906587,10.771809,Arups gate 13
1855,Lilleakerveien,2C,283,Skøyen,Oslo,59.914726,10.638940999999999,Lilleakerveien 2C
1856,Kirkeveien,59,364,Majorstuen,Oslo,59.928981,10.716221,Kirkeveien 59
1857,Pilestredet,41C,166,Homansbyen,Oslo,59.920475,10.733836,Pilestredet 41C
1858,Rostockgata,66,194,Vaterland,Oslo,59.906149,10.760686,Rostockgata 66
1859,Jacob Aalls Gate,28,366,Majorstuen,Oslo,59.928913,10.717843,Jacob Aalls Gate 28
1860,Akershusstranda,25,150,St. Hanshaugen,Oslo,59.901814,10.741166,Akershusstranda 25
1861,Sofienberggata,15,558,Enerhaugen,Oslo,59.922237,10.76135,Sofienberggata 15
1862,Østensjøveien,98B,682,Opsal,Oslo,59.900424,10.827771,Østensjøveien 98B
1863,,,0,,Oslo,60.041422,10.755485,Øyungsdammen Ø
1864,Strandpromenaden,2,252,Aker Brygge,Oslo,59.906925,10.721938,Strandpromenaden 2
1865,,,0,,Oslo,60.041422,10.755485,Øyungsdammen Ø
1866,Rosenkrantz' gate,7,159,hammer,Oslo,59.914691,10.73951,Rosenkrantz' gate 7
1867,Thereses gate,20A,168,Bislett,Oslo,59.92909,10.733033,Thereses gate 20A
1868,Fridtjof Nansens plass,9,160,Vika,Oslo,59.912269,10.734928,Fridtjof Nansens plass 9
1869,Ullveien,4B,791,Lysebu,Oslo,59.975541,10.66468,Ullveien 4B
1870,Henrik Ibsens gate,60C,255,Ruselokka,Oslo,59.914992,10.720439,Henrik Ibsens gate 60C
1871,Pilestredet,51,350,Homansbyen,Oslo,59.921603,10.731969,Pilestredet 51
1872,Underhaugsveien,28,354,Homansbyen,Oslo,59.923859,10.726099,Underhaugsveien 28
1873,Vulkan,2,182,Fredensborg,Oslo,59.921365,10.752243,Vulkan 2
1874,Københavngata,18,566,Torshov,Oslo,59.928184,10.768297,Københavngata 18
1875,Tonsenveien,14,587,Grefsen,Oslo,59.941645,10.792207,Tonsenveien 14
1876,Vogts gate,60,477,Torshov,Oslo,59.935918,10.765486,Vogts gate 60
1877,Tordenskiolds Gate,1,160,Vika,Oslo,59.913277,10.736424,Tordenskiolds Gate 1
1878,Storgata,39,182,hammer,Oslo,59.915126,10.754685,Storgata 39
1879,Rådhusgata,19,158,St. Hanshaugen,Oslo,59.910269,10.740319,Rådhusgata 19
1880,Arbins gate,13B,253,Ruselokka,Oslo,59.913935,10.725732,Arbins gate 13B
1881,Storgata,41,182,hammer,Oslo,59.915214,10.754923999999999,Storgata 41
1882,Thorvald Meyers gate,87B,550,Enerhaugen,Oslo,59.918919,10.759225,Thorvald Meyers gate 87B
1883,Olaf Ryes Plass,9,552,Fredensborg,Oslo,59.923489000000004,10.757788,Olaf Ryes Plass 9
1884,Hegdehaugsveien,36,352,Homansbyen,Oslo,59.9235,10.725313,Hegdehaugsveien 36
1885,Torggata,18,181,hammer,Oslo,59.916126,10.751136,Torggata 18
1886,Vestgrensa,2,851,Blindernveien,Oslo,59.94079,10.729133,Vestgrensa 2
1887,Fagerborggata,1,354,Bislett,Oslo,59.927877,10.728541,Fagerborggata 1
1888,St. Olavs Gate,21,165,hammer,Oslo,59.918045,10.738462,St. Olavs Gate 21
1889,Pilestredet,71,354,Homansbyen,Oslo,59.925394,10.730575,Pilestredet 71
1890,Bjerregaards gate,2B,172,Homansbyen,Oslo,59.923375,10.740825,Bjerregaards gate 2B
1891,Munkedamsveien,53B,250,Aker Brygge,Oslo,59.91095,10.722625,Munkedamsveien 53B
1892,Briskebyveien,28,259,Briskeby,Oslo,59.919952,10.717979,Briskebyveien 28
1893,Stenersgata,2C,184,hammer,Oslo,59.91315,10.751443,Stenersgata 2C
1894,Grønlandsleiret,61,190,Grønland,Oslo,59.909614,10.768084,Grønlandsleiret 61
1895,Operagata,36,194,Vaterland,Oslo,59.906678,10.759956,Operagata 36
1896,Solligata,2,254,Ruselokka,Oslo,59.914372,10.720479,Solligata 2
1897,Trondheimsveien,154,570,Sindsen,Oslo,59.928975,10.77767,Trondheimsveien 154
1898,Helgesens gate,72,558,Enerhaugen,Oslo,59.922291,10.770528,Helgesens gate 72
1899,"Anne-Cath, Vestlys Plass",1,150,St. Hanshaugen,Oslo,59.908676,10.752618,"Anne-Cath, Vestlys Plass 1"
1900,Ludvig Karstens Vei,4,1064,Ellingsrud,Oslo,59.93447,10.925264,Ludvig Karstens Vei 4
1901,Kirkegata,20,153,St. Hanshaugen,Oslo,59.910779,10.744436,Kirkegata 20
1902,Holmenveien,1,374,Ris,Oslo,59.943064,10.703434,Holmenveien 1
