tilsynid,org_navn,orgnummer,adresse,postnr,poststed,kategori1,kategori2,kategori3,kategori4,karakter1,karakter2,karakter3,karakter4,total_karakter,dato,tilsynsbesoektype,tilsynsobjektid,sakref,status
Z2107010950545760239NGAIN_TilsynAvtale,Azadi Restaurant,919343923,Mandallsgate 4,0190,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,01072021,1,Z1709262001029293100RDSXT_Tilsynsobjekt,2019/256486,0
Z2002061353109810240BJQJM_TilsynAvtale,Cafe Tekehtopa,977501369,St. Olavs plass 2,0165,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,06022020,0,Z1608291052545092025OTEVB_Tilsynsobjekt,2020/27397,0
Z1610101606045830240FVREI_TilsynAvtale,Sanguine Brasseri og Bar,991693637,KIRSTEN FLAGSTADS PLASS 1,0150,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,1,1,10102016,0,Z1006052056070391127SMZWP_Tilsynsobjekt,2016/213137,0
Z1708140750196920239WSFWY_TilsynAvtale,Brooklyn Burger Joint Oslo,918273816,Hagegata 22,0653,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,1,1,11082017,0,Z1612011453299893252SYSIV_Tilsynsobjekt,2017/163637,0
Z1905060613362290239HSOGD_TilsynAvtale,Brooklyn Burger Joint Oslo,918273816,Hagegata 22,0653,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,03052019,0,Z1612011453299893252SYSIV_Tilsynsobjekt,2019/108042,0
Z2212131443029570240ITGMF_TilsynAvtale,Lett Sjølyst,921847238,Karenslyst allé 9,0278,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,1,0,0,1,13122022,0,Z2209211333351960128DZJNU_Tilsynsobjekt,2022/269932,0
Z1805310835386910239MRKLH_TilsynAvtale,Lucky Bird,911621622,MARIDALSVEIEN 17B,0175,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,30052018,0,Z1501231809446833252APJPH_Tilsynsobjekt,2018/126594,0
Z2209230743594540239CBSXR_TilsynAvtale,Voksenåsen Hotell,871790272,Ullveien 04,0791,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,1,0,1,22092022,0,Z1006052056371591189MYAQH_Tilsynsobjekt,2022/186811,0
Z2301251352214660240TLLYJ_TilsynAvtale,Gråbein Bar AS,923001603,Lakkegata 71A,0562,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,1,1,0,1,1,25012023,0,Z1909181623552870128RIGBO_Tilsynsobjekt,2023/18750,0
Z2211230846151040239ZFDVX_TilsynAvtale,Joe & the Juice Skovveien,915839266,SKOVVEIEN 5,0257,OSLO,Rutiner og ledelse,Lokaler og utstyr,Mat-håndtering og tilberedning,Merking og sporbarhet,0,0,0,0,0,23112022,1,Z1608121053211643159FQWWR_Tilsynsobjekt,2022/234987,0
