organisasjonsnummer,navn,registreringsdatoEnhetsregisteret,registrertIMvaregisteret,antallAnsatte,stiftelsesdato,registrertIForetaksregisteret,registrertIStiftelsesregisteret,registrertIFrivillighetsregisteret,konkurs,underAvvikling,underTvangsavviklingEllerTvangsopplosning,maalform,organisasjonsform_kode,organisasjonsform_beskrivelse,organisasjonsform__links_self_href,naeringskode1_beskrivelse,naeringskode1_kode,forretningsadresse_land,forretningsadresse_landkode,forretningsadresse_postnummer,forretningsadresse_poststed,forretningsadresse_adresse,forretningsadresse_kommune,forretningsadresse_kommunenummer,links_self_href
927713195,JS FAWAD,2021-09-13,True,30.0,,False,False,False,False,False,False,Bokmål,ENK,Enkeltpersonforetak,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/ENK,Drift av restauranter og kafeer,56.101,Norge,NO,0659,OSLO,['Etterstadsletta 68'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/927713195
927659980,GHOST PIZZERIA AS,2021-09-14,True,7.0,2021-08-24,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Cateringvirksomhet,56.210,Norge,NO,0368,OSLO,['Kirkeveien 51'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/927659980
929330579,MARIHOLTET AS,2022-06-10,True,11.0,2022-05-04,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,1061,OSLO,['Mariholtveien 200'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/929330579
927172313,RISTORANTE BURANO AS,2021-05-31,True,11.0,2021-04-11,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0190,OSLO,['Mandalls gate 10'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/927172313
989633406,SØRKEDALEN LANDHANDEL AS,2006-04-11,True,28.0,2006-02-08,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,47.111,Norge,NO,0758,OSLO,['Sørkedalsveien 1014'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/989633406
922139032,GRAINS FROGNER AS,2019-01-30,True,9.0,2019-01-16,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0257,OSLO,['Niels Juels gate 33B'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/922139032
884388732,BLENDER AS,2002-04-12,True,306.0,2002-03-20,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0255,OSLO,['Henrik Ibsens gate 60A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/884388732
998633834,SEA SUSHI BAR AS,2012-07-19,True,13.0,2012-07-16,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0556,OSLO,['Toftes gate 20A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/998633834
922600678,BRAUD AS,2019-04-06,True,14.0,2019-03-25,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0555,OSLO,['Thorvald Meyers gate 47A'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/922600678
926204483,PIZZA + SIDER AS,2020-12-17,True,13.0,2020-11-04,True,False,False,False,False,False,Bokmål,AS,Aksjeselskap,https://data.brreg.no/enhetsregisteret/api/organisasjonsformer/AS,Drift av restauranter og kafeer,56.101,Norge,NO,0192,OSLO,['St. Halvards gate 33'],OSLO,0301,https://data.brreg.no/enhetsregisteret/api/enheter/926204483
